title,slug,type,translate,icon,url,route,is_hidden,classes,is_exact_match,external_url,is_open_new_tab,is_active,function,order,menugroup,image,role,permission,json
Dashboard,dashboard,link,TJI.Dashboard,las la-tachometer-alt,/,/,0,0,0,,0,1,,1,dashboard,,,view dashboard,
Enquiry,enquiry,link,TJI.Enquiry,las la-envelope,/application/enquiry/list,/application/enquiry/list,0,0,0,,0,1,,2,application,,,"view enquiry, manage enquiry",
Request For Quote,request-for-quote,link,TJI.RequestForQuote,las la-file-alt,/purchases/request-for-quote/list,/purchases/request-for-quote/list,0,0,0,,0,1,,3,application,,,"view request for quote, manage request for quote",
Sales,sales,subheading,TJI.Sales,las la-store-alt,/application/sales/list,/application/sales/list,0,0,0,,0,1,,4,application,,,,
Purchases,purchases,subheading,TJI.Purchases,las la-shopping-cart,/application/purchases/list,/application/purchases/list,0,0,0,,0,1,,5,application,,,,
Packing,packing,link,TJI.Packing,las la-truck,/application/packing/list,/application/packing/list,0,0,0,,0,1,,6,application,,,"view packing, manage packing",
Expenses,expenses,subheading,TJI.Expenses,las la-money-bill,/expenses/expense/list,/expenses/expense/list,0,0,0,,0,1,,7,application,,,,
Product,product,subheading,TJI.Product,las la-box,/master/product/list,/master/product/list,0,0,0,,0,1,,1,master,,,,
Customer,customer,link,TJI.Customer,las la-users,/contact/customer/list,/contact/customer/list,0,0,0,,0,1,,1,contact,,,"view customer, manage customer",
Vendor,vendor,link,TJI.Vendor,las la-user-tag,/contact/vendor/list,/contact/vendor/list,0,0,0,,0,1,,2,contact,,,"view vendor, manage vendor",
Agent,agent,link,TJI.Agent,las la-user,/contact/agent/list,/contact/agent/list,0,0,0,,0,1,,3,contact,,,"view agent, manage agent",
Staff,staff,link,TJI.Staff,las la-user-circle,/contact/staff/list,/contact/staff/list,0,0,0,,0,1,,4,contact,,,"view staff, manage staff",
Sale Report,sale-report,link,TJI.SaleReport,las la-chart-bar,/report/sale-report/list,/report/sale-report/list,0,0,0,,0,1,,1,report,,,view sale report,
Purchase Report,purchase-report,link,TJI.PurchaseReport,las la-chart-bar,/report/purchase-report/list,/report/purchase-report/list,0,0,0,,0,1,,2,report,,,view purchase report,
Expense Report,expense-report,link,TJI.ExpenseReport,las la-chart-bar,/report/expense-report/list,/report/expense-report/list,0,0,0,,0,1,,3,report,,,view expense report,
commissions,commissions,link,TJI.Commissions,las la-chart-bar,/report/commissions/list,/report/commissions/list,0,0,0,,0,1,,4,report,,,view commission report,
Security,security,subheading,TJI.Security,las la-shield-alt,/account/security,account/security,0,0,0,,0,1,,2,account,,,,
System Setting,system-setting,link,TJI.System-Setting,las la-cogs,/account/system-setting/list,/account/system-setting/list,0,0,0,,0,1,,3,account,,,"view system setting, manage system setting",
